Name,Year of release,Image,title,country origin,Number of Episode,Aired Date,original network,Duration,Content Rating,Rating,Rank,popularity,watcher,Synopsis,Genre,Tags,Cast,watch on,director,Aired On,,,,,
Crash Landing on You,2019,https://i.mydramalist.com/XrN2dc.jpg?v=1,Crash Landing on You,South Korea,16,"Dec 14, 2019 - Feb 16, 2020","Netflix,tvN",1 hr 20 min,Not Yet Rated,9,27,13,"97,426","After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.
(Source: queen of repressed rage at MyDramaList)","Romance,Military,Comedy,Melodrama,Friendship","Military,Comedy,Romance,Political","Hyun Bin Ri Jung HyukMain RoleSon Ye Jin Yoon Se Ri / ""Sam Suk""Main RoleSeo Ji Hye Seo DanMain RoleKim Jung Hyun Goo Seung JunMain RoleYang Kyung Won Pyo Chi Su [5th Company master sergeant]Support RoleLee Shin Young Park Kwang Beom [5th Company first lieutenant]Support Role",Netflix ,,"Sunday, Saturday",,,,,
Hot Stove League,2019,https://i.mydramalist.com/ZrX3Oc.jpg?v=1,Hot Stove League,South Korea,16,"Dec 13, 2019 - Feb 14, 2020",SBS,55 min,Not Yet Rated,8.7,117,575,"13,781","About the preparation period of a major league baseball team. The drama focuses on a loser team that prepares for an extraordinary season upon the arrival of their new general manager, and each episode will focus on a problem they have as they prepare to become a stronger team.

Se Young is the youngest head of the management team of Dreams, a cellar-dwelling baseball team. She's highly recognized for her perseverance and intense passion for the team. One day, Seung Su is appointed as a general manager. Although he's been working in the sports field, the teams he led to the championship were unpopular, and some of them were even disbanded after winning the league due to the financial difficulties of their parent companies. Would this unlucky new general manager be able to steer Dreams to the championship with passionate Se Young?

Han Jae Hee, an energetic man,who is the grandson of a furniture maker. Kim Young Chae,who is a softball player turned sports announcer. Yoo Min Ho, a pitcher, who is crazy about baseball.

(Source: Viu, AsianWiki & Soompi)","Friendship,Psychological,Romance,Drama","Hardworking Female Lead, Baseball, Hardworking Male Lead, Workplace, Teamwork, Mature Protagonist, General Manager, Corruption, Successful Male Lead, Tough Male Lead",Namkoong Min Baek Seung SooMain RolePark Eun Bin Lee Se YoungMain RoleCho Byeong Kyu Han Jae HeeMain RoleOh Jung Se Kwon Gyung MinMain RoleSon Jong Hak Go Gang Sun [Dreams team president]Support RoleKim Do Hyun Yoo Gyung Taek [Dreams power analysis team leader]Support Role,Netflix  Kocowa   Viki  SBS World  ,Jung Dong Yoon,"Friday, Saturday",,,,,
Chocolate,2019,https://i.mydramalist.com/p84Jec.jpg?v=1,Chocolate,South Korea,16,"Nov 29, 2019 - Jan 18, 2020","jTBC,Netflix",50 min,Not Yet Rated,8.1,931,409,"17,686","The story of a man who became a neurosurgeon though he dreamed of becoming a cook, and a woman who became a cook because of him.

Lee Kang is a neurosurgeon, who once dreamed of becoming a chef. As a child, Moon Cha Young once met Lee Kang at a small restaurant in the seaside town. There, Lee Kang cooked and gave her a meal, which in part inspired her to become a world-famous chef. Many years later, the two meet again at a hospice ward and together they heal their own emotional scars by preparing meals for the patients there.
(Source: KoreanDrama.org)","Romance,Drama,Family,Melodrama","Hospice Care, Chef, Cooking, Healing, Slow Burn Romance, Tragic Past, Trauma, Nice Male Lead, First Love, Compassionate Female Lead",Yoon Kye Sang Lee KangMain RoleHa Ji Won Moon Cha YoungMain RoleJang Seung Jo Lee JoonMain RoleMin Jin Woong Moon Tae Hyun[Cha Young's twin brother]Main RoleKang Boo Ja Han Yong Sul [Kang & Joon's grandmother]Support RoleLee Jae Ryong Lee Seung Hoon[Joon's father & Kang's uncle]Support Role,Netflix ,Lee Kyung Hee,"Friday, Saturday",,,,,
Gracious Revenge,2019,https://i.mydramalist.com/qb7yzc.jpg?v=1,Gracious Revenge,South Korea,103,"Nov4, 2019 - Mar 27, 2020",KBS2,57 min,Not Yet Rated,7.2,18439,5976,811,"A story of a woman who was raised as a tool for her mother’s revenge and her dangerous love life will be introduced.

Carrie Jung lost her husband and child. She now lives only take revenge on those responsible for their deaths. Carrie Jung raises Han Yoo Jin as a tool in her revenge plan. Han Yoo Jin is a smart and beautiful woman, but she falls in love with a man who she should not love.
(Source: AsianWiki)","Friendship,Psychological,Romance,Drama","Revenge, Dangerous Love, Death Of A Family, Death Of A Child, Secondary Couple, Rich Family, Smart Female Lead, Forbidden Love, Soap Opera, Multiple Mains",Cha Ye Ryun Han Yoo Jin / Janice HanMain RoleChoi Myung Gil Carrie Jung / Jung Mi Ae / Cha Mi YunMain RoleKim Heung Soo Goo Hae JoonMain RoleOh Chae Yi Hong Se RaMain RoleLee Hae Woo Danny JungMain RoleJi Soo Won Seo Eun Ha [Yoo Jin & Se Ra's mother]Support Role,KBS World ,Uh Soo Sun,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
Bad Love,2019,https://i.mydramalist.com/xXW1yc.jpg?v=1,Bad Love,South Korea,129,"Dec2, 2019 - May 29, 2020",MBC,50 min,Not Yet Rated,7.1,20623,8269,459,"An accident has changed five men and women’s fates. Unlike conventional love stories with lovely memories and anecdotes, their love is judged and frowned upon. Despite the criticisms on them, they can’t stop themselves from desperately loving each other. Bad Love is a sad love drama that portrays true love that hurts.
(Source: Viu)","Action,Romance,School,Drama,Martial Arts,Fantasy","Stepbrother, Large Company, Fabric Store, Family Conflict, Bright Female Lead, Secondary Couple, Scandal, Chairman, Secret, Time Skip",Shin Go Eun Choi So WonMain RoleLee Sun Ho Han Jae HyukMain RoleOh Seung Ah Hang Yeon SooMain RoleYoon Jong Hwa Han Min HyukMain RoleCha Min Ji Choi Eun Hye [So Won & Ho Jin's sister]Support RoleJeon Seung Bin Choi Ho Jin [So Won & Eun Hye's younger brother]Support Role,Kocowa   Viki  Apple TV Subscription,Hong Seung Hee,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
Want a Taste?,2019,https://i.mydramalist.com/q8klDc.jpg?v=1,Want a Taste?,South Korea,124,"Nov 12, 2019 - May1, 2020",SBS,35 min,Not Yet Rated,6.9,22223,7638,528,"Hae Jin is 36-years-old. She is married to Jin Sang, who is 6 years younger than her, and they have a daughter Yoo Ri. Hae Jin runs a restaurant that she took over from her father-in-law. She supported her husband Jin Sang while he studied to enter a university. Because of Hae Jin, Jin Sang is now attending a prestigious university, but he has an affair with Joo Ri. She is the young daughter of a rich family. Hae Jin becomes aware of her husband's affair, but she doesn't want a divorce. Meanwhile, Dae Gu appears in front of Hae Jin. Dae Gu is a drama series writer. He was once in demand for his screenwriting, but his popularity has waned. His marriage life is not doing well either.
(Source: AsianWiki)","Thriller,Mystery,Sci-Fi","Infidelity, Married Couple, Multiple Couples, Marriage, Actor Trainee, Drama Producer, Law Student, Secondary Couple, Housekeeper, University",Shim Yi Young Kang Hae JinMain RoleSeo Do Young Oh Dae GooMain RoleSeo Ha Joon Lee Jin SangMain RoleHan Ga Rim Jung Joo RiMain RoleLee Seul Ah Bae Yoo RanMain RoleChoi Woo Suk Jung Joon HooMain Role,Tooniverse ,Yoon Ryu Hae,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
Psychopath Diary,2019,https://i.mydramalist.com/2g4yWc.jpg?v=1,Psychopath Diary,South Korea,16,"Nov 20, 2019 - Jan9, 2020",tvN,50 min,Not Yet Rated,8.3,453,366,"19,018","Yook Dong Shik is a 34-year-old office worker who is so weak and timid that he is used by everybody around him. After an incident, he becomes the scapegoat of his company, and so facing losing his job and his family turning their back on him, he decides to commit suicide. While doing so, he unexpectedly stumbles across a murder scene, but gets into an accident while running from the murderer. He wakes up with amnesia with the psychopath's diary in his possession. With no clues to his true nature other than the diary, and his fragmented memory lining up with the diary entry, he begins to believe that he is in fact a psychopath serial killer.

30-year-old neighborhood police officer, Shim Bo Kyung is investigating a suspected serial homicide. After a few run-ins with Dong Shik, she believes that he is an extremely kind man. However, after one too many coincidences, she starts to suspect Dong Shik might be more involved in the case than she thought.

36-year-old Seo In Woo is a cold and meticulous psychopath. On the day of his 7th crime, things go wrong and he loses his diary where he writes of all his daily life and detailed description of his murders.

(Source: MyDramaList)","Action,Thriller,Mystery,Comedy","Serial Killer, Black Comedy, Psychopath, Amnesia, Personality Change, Nice Male Lead, Misunderstanding, Wrongfully Accused, Investigation, Murder",Yoon Shi Yoon Yook Dong ShikMain RoleJung In Sun Shim Bo KyungMain RolePark Sung Hoon Seo In WooMain RoleLeeHan Wi Yook Jong Chul [Dong Shik's father / Restaurant Owner]Support RoleHwang Geum Byul Yook Ji Yun [Dong Shik's big sister]Support RoleKim Kyul Jo Yong Gu [Dong Shik's brother-in-law]Support Role,Viki  ,"Ryu Yong Jae,Kim Hwan Chae,Choi Sung Joon","Wednesday, Thursday",,,,,
Woman of 9.9 Billion,2019,https://i.mydramalist.com/q88bdc.jpg?v=1,Woman of 9.9 Billion,South Korea,32,"Dec4, 2019 - Jan 23, 2020",KBS2,40 min,Not Yet Rated,7.6,2989,2369,"3,139","Jung Seo Yeon grew up with an abusive father. Then she escaped to begin again with an affectionate and loving man; unfortunately that chapter in her life was brief. And as she struggles to find happiness, she incurs 9.9 Billion won ($9 million USD) which is enough tofund her ""fights against the world."" 

Meanwhile, the ex-detective Kang Tae Woo searches for the truth behind his younger sibling's death.","Romance,Family,Melodrama","Revenge, Aggressive Male Lead, Domestic Violence, Hot-Tempered Male Lead, Orphan Female Lead, Multiple Couples, Money Laundering, Ex-detective, Businessman, Strong Female Characters",Cho Yeo Jung Jung Seo YeonMain RoleKim Kang Woo Kang Tae WooMain RoleOh Na Ra Yoon Hee JooMain RoleLee Ji Hoon Lee Jae HoonMain RoleJung Woong In Hong In PyoMain RoleKim Byung Gi Yoon Ho Sung [Hee Joo's father]Support Role,Viki  Kocowa ,Han Ji Hoon,"Wednesday, Thursday",,,,,
Love with Flaws,2019,https://i.mydramalist.com/wl01kc.jpg?v=1,Love with Flaws,South Korea,32,"Nov 27, 2019 - Jan 16, 2020",MBC,1 hr 2 min,Not Yet Rated,7.8,2179,282,"23,163","This romantic comedy follows a woman who has an aversion to flower boys and a man who has an obsession with appearance. 

The female lead, Joo Seo Yeon, is a hot-tempered physical education high school teacher who always wears sneakers, jeans and training uniforms.The death of her parents helped instill a deep sense of compassion, a generous heart and an outspoken objection for anyone who drinks and drives. Living in a house with three irascible and very attractive brothers, she loathes flower boys. Her ideal type is someone who is “not handsome.” 

In contrast, the male lead, Lee Kang Woo, is a handsome chaebol who focuses primarily on outer appearance. Initially, he craved attention, oozed arrogance and loved his looks--despite the strict diet and exercise regimen required to maintain it. While he appears flawless, he (like everyone else) was wounded while growing up. And those flaws--along with everyone else's--drive the story.

Sparks fly when they meet and struggle to overcome their biases for and against people with flaws. Throughout the drama they learn to see beyond appearances to the tragic backstories and scars that motivate themselves and the people around them.

(Source: Kpopmap)","Psychological,Comedy,Romance","Misunderstanding, Eccentric Male Lead, Trauma, Gay Character, Childhood Friends, Hate To Love, First Love, Love Triangle, Bromance, Teacher",Oh Yeon Seo Joo Seo YeonMain RoleAhn Jae Hyun Lee Kang WooMain RoleKim Seul Gi Kim Mi KyungMain RoleGu Won Lee Min HyukMain RoleHeo Jung Min Park Hyun SooMain RoleCha In Ha Joo Won Suk [Seo Yeon's brother / Bartender]Support Role,Viki  dimsum entertainment  Apple TV   Kocowa ,Oh Jin Suk,"Wednesday, Thursday",,,,,
Diary of a Prosecutor,2019,https://i.mydramalist.com/dvv3Kc.jpg?v=1,Diary of a Prosecutor,South Korea,16,"Dec 16, 2019 - Feb 11, 2020",jTBC,47 min,Not Yet Rated,8.2,849,1744,"4,461","A drama depicting the mundane daily routine of overworked prosecutors staying up all night to tackle all the different cases handed over by the police.

Lee Sun Woong works at the Public Prosecutor’s Office in his local district. On the outside, he looks a bit slow and like he has no ambitions in life, but his inner self is different from what he appears on the outside.
Cha Myung Joo is an elite prosecutor, who was rising on the ladder of success at the Central District Prosecutor’s Office before being sent to a branch office.

(Source: HanCinema, Soompi)","Baek Sang Hoon,Lee Eung Bok","Social Commentary, Nice Male Lead, Comedy, Smart Male Lead, Strong Female Lead, Sismance, Adapted From A Novel, Bromance, Character Development, Kep1er",Lee Sun Kyun Lee Sun WoongMain RoleJung Ryeo Won Cha Myung JooMain RoleLee Sung Jae Jo Min HoMain RoleLee Sang Hee Oh Yoon JinMain RoleKim Kwang Gyu Hong Jong HakMain RoleJeon Sung Woo Kim Jung WooMain Role,Viki   Hulu  iflix  ,"Park Yeon Sun,Lee Hyun,Seo Ja Yeon","Monday, Tuesday",,,,,
Black Dog,2019,https://i.mydramalist.com/Bb1RRc.jpg?v=1,Black Dog,South Korea,16,"Dec 16, 2019 - Feb4, 2020",tvN,50 min,Not Yet Rated,8.1,942,1716,"4,548","It tells the story of a young woman who gets a short-term teaching position and does her best to fight for students’ dreams in school. The drama will take a deep look into the lives of teachers and provide commentary on society through the microcosm of a school setting.
Go Ha Neul is newly appointed to a short-term teaching position at a private school. She dreamed of becoming a teacher because of her gratitude towards one of her own teachers who saved her life, and she will grow with the students as they face the various issues that exist in a cut-throat private school setting. 
Park Sung Soon, is the head of the career counseling department at the school and a known workaholic. She is well-known as someone who will do whatever it takes for her students and is even willing to visit schools on her students' behalf to fight for them. 
Bae Myung Soo and Do Yeon Woo, work with Park Sung Soon. Go Ha Neul joins them.
(Source: Soompi)","Comedy,Romance,Drama,Melodrama,Supernatural","School Problems, Personal Growth, Smart Female Lead, Workplace, Teamwork, Mentor, Strong Female Lead, Teacher, Hardworking Female Lead, High School",Seo Hyun Jin Go Ha NeulMain RoleRa Mi Ran Park Sung SoonMain RoleHa Joon Do Yun WooMain RoleLee Chang Hoon Bae Myung SooMain RoleJung Hae Kyun Moon Soo Ho [Ha Neul's uncle / The head of the school affairs department in office politics]Support RoleJo Yun Hee Kim Yi Boon [Korean Teacher / Ha Neul's subject partner / Administration Department]Support Role,Viki Subscription,Hwang Joon Hyuk,"Monday, Tuesday",,,,,
V.I.P,2019,https://i.mydramalist.com/E21Jbc.jpg?v=1,V.I.P,South Korea,32,"Oct 28, 2019 - Dec 24, 2019",SBS,1 hr 5 min,Not Yet Rated,8,1172,978,"8,215","VIP is a drama that seeks to find an answer in the secretive relationships we hold in today’s society. Jung Sun is a competent and successful career woman who works as a deputy manager at Sung Woon Department Store. Her job as a member of the VIP Management Team is to satisfy their top one percent of customers who are the special VIPs and VVIPs. Not only is she professional at work, but she has a happy household with a wonderful husband, Sung Jun. However, one day she receives an anonymous text message. It says that her romantic husband is having an affair with someone at the office. Anxious to lose everything she has, she desperately studies the office and her co-workers to find out the woman Sung Jun is seeing. In the course of events, secrets behind each of the workers at the VIP Management Team are revealed. Will Jung Sun find out the truth behind the anonymous text message?

(Source: Viu)","Romance,Life,Drama,Family,Melodrama","Mystery,Business,Romance,Melodrama",Jang Na Ra Na Jung SunMain RoleLee Sang Yoon Park Sung JoonMain RoleLee Chung Ah Lee Hyun AhMain RoleKwak Sun Young Song Mi NaMain RolePyo Ye Jin Ohn Yoo RiMain RoleShin Jae Ha Ma Sang WooMain Role,Netflix  Viki  SBS World   Kocowa  ,,"Monday, Tuesday",,,,,
Leverage,2019,https://i.mydramalist.com/doR8zc.jpg?v=1,Leverage,South Korea,16,"Oct 13, 2019 - Dec8, 2019",TV Chosun,55  min,Not Yet Rated,8.2,673,1268,"6,349","Meet Lee Tae Joon a former insurance claims investigator turned scam strategist.Backed by a group of former criminals, they aim to bring to justice fellow thieves, grifters and con-men world-wide, who, otherwise, would not get their due, through the usual legal channels.Those who hide illegal activity behind their reputations and think they are above the law, soon become the target of mastermind Lee Tae Joon and his unusual team of talented experts. 

~~ A remake of the U.S. series'Leverage'.","Mystery,Drama","Con Artist, Hacker, Smart Male Lead, Leadership, Friendship, Street Fight, Corruption, Badass Female Lead, Slight Romance, Female Warrior",Lee Dong Gun Lee Tae JoonMain RoleJeon Hye Bin Hwang Soo KyungMain RoleKim Sae Ron Go Na ByulMain RoleKim Kwon Roy RyuMain RoleYeo Hoe Hyun Jung Eui SungMain RoleChoi Ja Hye Shin Yoo Ri [Tae Joon's ex-wife]Support Role,Tooniverse ,Nam Ki Hoon,Sunday,,,,,
The Lies Within,2019,https://i.mydramalist.com/j8EJzc.jpg?v=1,The Lies Within,South Korea,16,"Oct 12, 2019 - Dec1, 2019","Netflix,OCN",45 min,Not Yet Rated,8,1334,1215,"6,616","Jo Tae Shik was once an enthusiastic detective, but he now wants a different kind of life. He longs for a peaceful and ordinary existence. Because of this, Jo Tae Shik applies for a transfer to a police substation in a small country village without many residents. Meanwhile, Jo Tae Shik takes a case involving the death of Lawmaker Kim Seung Cheol. He died in a car accident, but Jo Tae Shik senses that the car accident is not so clear-cut. The lawmaker's son-in-law then goes missing.
Kim Seo Hui is the youngest daughter of the late lawmaker and her husband is now missing. She married her husband to benefit both of their families, but their relationship hasn't been so good. Kim Seo Hui becomes a lawmaker to find the truth behind her father's death and save her missing husband.
Jo Tae Shik and Kim Seo Hui soon uncover a conspiracy and try to reveal the truth.
(Source: AsianWiki)","Action,Thriller,Mystery,Drama","Missing Person, Political, Assemblywoman, Car Accident, Smart Female Lead, Smart Male Lead, Strong Female Lead, Investigation, Detective, Suspense",Lee Min Ki Jo Tae ShikMain RoleLee Yoo Young Kim Seo HuiMain RoleLee Joon Hyuk Yoo Dae YongSupport RoleKim Shi Eun Kang Jin KyungSupport RoleYoon Jong Seok Jeon Ho GyuSupport RoleOhn Joo Wan Jin Young MinSupport Role,Netflix ,Lee Yoon Jung,"Saturday, Sunday",,,,,
Failing in Love,2019,https://i.mydramalist.com/RZ16Pc.jpg?v=1,Failing in Love,South Korea,10,"Oct 28, 2019 - Nov 26, 2019","MBC,vLive",1 hr 5 min,Not Yet Rated,7.6,3137,1333,"6,030","Suffering from a separation anxiety disorder, Kang Pa Rang confesses his love for someone different every week. Lee Shi Won, Pa Rang's headstrong best friend, has been stopping Pa Rang from dating anyone for the past 10 years. After getting rejected by girls time after time, Pa Rang confesses his love for Shi Won, his friend of 10 years, but gets rejected. There is a reason there are weird rumors about Shi Eon, the psychopath that is socially awkward but was elected class president for 10 consecutive years. He hides his true feelings behind his cold comments, but there is something in the way he looks at his decade-old friend Shi Won. At 18 years old, they have faced many hardships, challenges, and confessions, but it often ends in failure. It’s an awkward age. Will they be able to find love instead of just having it end as an attempt?
(Source: MBC)","Thriller,Mystery,Drama","High School, Web Series, Love Triangle, Childhood Friends, Sly Character, Smart Female Lead, Bromance, Shy Male Lead, Sweet Male Lead, Student",Son Sang Yeon Kang Pa RangMain RoleYang Hye Ji Lee Shi WonMain RoleShin Yoon Seop Lee Shi EonMain RoleJo Ki Sung Kim GeonSupport RolePark Ji Won Park Hee SooSupport RoleLee Seo Bin Jung Chae SoSupport Role,Viki  KOK TV Kocowa Subscription,Kim Min Seok,"Monday, Tuesday",,,,,
Secret Boutique,2019,https://i.mydramalist.com/kEJRjc.jpg?v=1,Secret Boutique,South Korea,32,"Sep 18, 2019 - Nov 28, 2019",SBS,1 hr 2 min,Not Yet Rated,7.7,2459,2718,"2,626","Do Young lived and worked in a public bathhouse after leaving the orphanage. Yeo Ok, the head of Deo Group, finds favor in her eyes of Do Young, and with Yeo Ok's support, Do Young changes her name to Jenny Jang and gets to run a high-end fashion boutique. Also, she becomes a central and powerful figure in the political and business circles as she secretly solves problems for the upper classes. Jenny's ultimate goal is to become the queen of the Deo family using the international city development project. On the other hand, Yeo Ok plans to take advantage of Jenny and abandon her as soon as she succeeds in making Deo Group one of the top 10 corporates in Korea through the international city development project. To do so, Yeo Ok shouldn't make Jenny notice her scheme.

(Source: Viki)","Thriller,Business,Romance,Drama","Power Struggle, Strong Female Lead, Strong Female Characters, Female Centered Plot, Secret Crush, Scheme, Revenge, Childhood Friends, Corruption, Lying",Kim Sun Ah Jenny Jang / Jang Do YoungMain RoleJang Mi HeeKim Yeo OkMain RolePark Hee Bon Wi Ye NamMain RoleGo Min Si Lee Hyun JiMain RoleKim Jae Young Yoon Sun WooMain RoleKim Tae Hoon Wi Jung HyukMain Role,Viki  SBS World Kocowa Subscription,Heo Seon Hee,"Wednesday, Thursday",,,,,
Catch the Ghost,2019,https://i.mydramalist.com/0brEKc.jpg?v=1,Catch the Ghost,South Korea,16,"Oct 21, 2019 - Dec 10, 2019",tvN,50 min,Not Yet Rated,8.1,909,509,"15,313","""Catch the Ghost” is a romantic investigative drama about a woman named Yoo Ryung who solves cases with her overflowing sense of justice and exceptional spatial perception but always gets herself into trouble because of her rash actions. She meets the Wangsimni station constabulary chief, a man who avoids cases and seeks stability. However, he always ends up cleaning up after the problems caused by Yoo Ryung and holds the key to solving the cases. (Source: Soompi)","Law,Romance,Life,Drama,Family,Medical","Impulsive Female Lead, Teamwork, Police, Nice Male Lead, Serial Killer, Strong Female Lead, Strong Male Lead, Smart Female Lead, Character Development, Love/Hate Relationship",Moon Geun Young Yoo Ryung | Yoo JinMain RoleKim Seon HoGo Ji SukMain RoleJung Yoo Jin Ha Ma RiMain RoleKi Do Hoon Kim Woo HyukMain RoleJo Jae Yoon Lee Man Jin [Subway Investigator]Support RoleAhn Seung Gyun Kang Soo Ho [Rookie Subway Investigator]Support Role,Tooniverse ,Shin Yoon Sub,"Monday, Tuesday",,,,,
The Tale of Nokdu,2019,https://i.mydramalist.com/23k3Oc.jpg?v=1,The Tale of Nokdu,South Korea,32,"Sep 30, 2019 - Nov 25, 2019",KBS2,1 hr 5 min,Not Yet Rated,8.4,384,132,"37,990","Jeon Nok Du lives on an island with his father and older brother. He is smart and a good swordsman. Since he was little, his father did not let him study or go to the mainland. One day, his father and older brother are attacked by a group of female assassins. Jeon Nok Du chases after one of the assassins to the capital. During that time, Jeon Nok Du meets Dong Dong Ju. She wants to shoot the King with her arrow, but Jeon Nok Du saves her from trouble. Meanwhile, the assassin that Jeon Nok Du chases goes into a widowed village. To find out who and why his family was attacked, Jeon Nok Du disguises himself as a woman and enters the widow village. There, he meets Dong Dong Ju again. She is an apprentice to become a gisaeng. 

(Source: AsianWiki)

~~ Adapted from the webtoon ""Nok Du Jeon"" (녹두전) by Hye Jin Yang (혜진양).","Friendship,Business,Comedy,Drama","Cross-Dressing, Joseon Dynasty, Smart Female Lead, Smart Male Lead, Strong Male Lead, Strong Female Lead, Orphan Female Lead, Gender Bender, First Love, Fluffy","Jang Dong Yoon Jeon Nok Du / ""Lady Kim"" / Yeon Soo / Kim Nok SoonMain RoleKim So Hyun Dong Dong JooMain RoleKang Tae Oh Cha Yool Mu / Grand Prince Neung YangMain RoleJung Joon Ho King Gwang HaeMain RoleKim Tae Woo Heo Yoon [Prime minister]Support RoleYoon Yoo Sun Cheon Haeng Soo [Head of the gisaeng house]Support Role",Netflix  WeTV   Viki   iflix Apple TV Kocowa ,"Baek So Yeon,Im Ye Jin","Monday, Tuesday",,,,,
When the Camellia Blooms,2019,https://i.mydramalist.com/jAYOrc.jpg?v=1,When the Camellia Blooms,South Korea,40,"Sep 18, 2019 - Nov 21, 2019","KBS2,Netflix",1 hr 2 min,15+ - Teens 15 or older,8.5,255,128,"38,505","Dong Baek is a single mother living in the small town of Ongsan. She runs the bar-restaurant Camellia, while also taking care of her son Pil Gu. The people of Ongsan frequently gossip about Dong Baek. She grew up as an orphan, is a single mother and runs a bar where many of the men in Ongsan frequent. Regardless of what the locals may whisper about Dong Baek, local police officer Hwang Yong Shik is deeply in love with her. Meanwhile, Dong Baek's ex-boyfriend Kang Jong Ryeol suddenly reappears in her life. He is a famous baseball player, that hid their relationship when they dated. While Dong Baek tries to find happiness, something truly sinister lurks in the background. A serial killer roams Ongsan and Dong Baek may be a target.

(Source: AsianWiki)

~~ Two versions available: 40 episodes (TV) || 20 episodes (online)","Music,Comedy,School,Youth,Drama","Single Mother, Mystery, Police Officer, Motherhood, Serial Killer, Mother-Son Relationship, Hardworking Female Lead, Dorky Male Lead, Male Chases Female First, Nice Male Lead",Gong Hyo Jin Oh Dong BaekMain RoleKang Ha Neul Hwang Yong ShikMain RoleKim Ji Suk Kang Jong RyulMain RoleSon Dam Bi Choi Hyang Mi [Dong Baek's friend]Support RoleOh Jung Se Noh Gyu Tae [Dong Baek's landlord]Support RoleYeom Hye Ran Hong Ja Young [Gyu Tae's wife / Divorce lawyer]Support Role,Netflix ,Im Sang Choon,"Wednesday, Thursday",,,,,
Melting Me Softly,2019,https://i.mydramalist.com/QNqYgc.jpg?v=1,Melting Me Softly,South Korea,16,"Sep 28, 2019 - Nov 17, 2019",tvN,1 hr 4 min,13+ - Teens 13 or older,7.6,2846,135,"37,250","This drama tells the story of a man and a woman who are both frozen during an experiment. They wake up 20 years later instead of 24 hours later and must keep their body temperature below 33°C in order to survive.

Ma Dong Chanis known in the entertainment world as a “hit maker.” A very successful producer of variety programs when every project he attaches himself to turns into a ratings juggernaut, Dong Chan is considered “a manly specimen of manhood, with perfect physical and handsome features who is coldly cool in work and hot in love.” The broadcast station where PD Ma’s productions are filmed also employs part-timer Go Mi Ran, who finds herself in a bind with debt collectors harassing her family for repayment of her family’s debts.

Mi Ran eventually becomes involved with PD Ma’s new variety program entitled “24-Hour Frozen Human Project,” which revolves around an experiment where a man and woman are randomly chosen to be “frozen human specimens” and scheduled to be brought back within 24 hours of their entering the zing chambers. In order to pay off her family debts, Mi Ran accepts an offer of 5 million won (approx. $4,200 USD) in exchange for being frozen for 24 hours. Due to a mysterious conspiracy, instead of being frozen for 24 hours, they remain frozen for 20 years. Their thawing 20 years later bring up personal difficulties that were in place before entering the zing chamber that they must resolve before resuming their normal lives.

(Source: koreandrama.org)","Friendship,Thriller,Mystery,Supernatural","Steamy Kiss, Illness, Successful Male Lead, Calm Male Lead, Boss/Employee Relationship, Eccentric Female Lead, Family Relationship, Smart Male Lead, Misunderstanding, Strong Female Lead",Ji Chang Wook Ma Dong ChanMain RoleWon Jin Ah Go Mi RanMain RoleYoon Se Ah Na Ha YoungMain RoleIm Won Hee Son Hyun Ki [Producer]Support RoleShim Hyung Tak Hwang Byung Shim / Hwang Dong Hyuk [Mi Ran’s ex-boyfriend / College professor]Support RoleKim Won Hae Ma Dong Shik [Dong Chan's younger brother] | Ma Pil Go [Dong Chan's father] (Ep. 2)Support Role,Viki Apple TV ,Shin Woo Cheol,"Saturday, Sunday",,,,,
Unasked Family,2019,https://i.mydramalist.com/kElPwc.jpg?v=1,Unasked Family,South Korea,123,"Oct 28, 2019 - Apr 17, 2020",KBS1,30 min,Not Yet Rated,7.5,15036,6539,699,"""Unasked Family"" depicts the life changing story of Kang Yeo-Won and Bong Chun-Dong.

When Kang Yeo-Won was a university student, she dreamed of becoming a reporter. An unexpected pregnancy, caused her to change that dream. She is now a housewife and she is busy taking care of her troublemaker in-laws, raising her child and managing her family's finances. Her husband gets into an accident and her life changes.

Meanwhile, Bong Chun-Dong grew up in an orphanage with his younger sister. He had a heart disease, but he was able to get an operation due to Hwang Byung-Rae. He is now a grown man. Bong Chun-Dong passes his bar exam, but he works for Hwang Byung-Rae.
(Source: AsianWiki)","Action,Historical,Comedy,Drama,Family",,Choi Yoon So Kang Yeo WonMain RoleSeol Jung Hwan Bong Cheon DongMain RoleShim Ji Ho Kim Ji HoonMain RoleJung Yoo Min Hwang Soo JiMain RoleYang Hee Kyung Wang Kkon Nip [Yeo Won's mother-in-law]Support RoleJo Hee Bong Nam Il Nam [Yeo Won's brother-in-law]Support Role,KBS World ,Park Ki Hyun,"Monday, Tuesday, Wednesday, Thursday, Friday",,,,,
